23:22:19.678 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:19.679 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (12.0,8.0) hasta (25.0,40.0)
23:22:19.679 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:19.691 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 46 puntos, distancia: 45.0 km
23:22:19.692 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 364 iteraciones, 364 nodos expandidos, 1452 nodos evaluados, 0 bloqueos sorteados
23:22:19.692 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 12 ms
23:22:19.692 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 46 puntos, longitud: 45.0 km, tiempo estimado: 90.0 minutos
23:22:19.700 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:19.701 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (25.0,40.0) hasta (42.0,38.0)
23:22:19.701 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:19.702 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 20 puntos, distancia: 19.0 km
23:22:19.702 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 53 iteraciones, 53 nodos expandidos, 208 nodos evaluados, 0 bloqueos sorteados
23:22:19.702 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:19.703 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 20 puntos, longitud: 19.0 km, tiempo estimado: 38.0 minutos
23:22:19.709 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:19.710 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (42.0,38.0) hasta (50.0,40.0)
23:22:19.710 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:19.711 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 11 puntos, distancia: 10.0 km
23:22:19.711 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 22 iteraciones, 22 nodos expandidos, 84 nodos evaluados, 0 bloqueos sorteados
23:22:19.711 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:19.712 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 11 puntos, longitud: 10.0 km, tiempo estimado: 20.0 minutos
23:22:19.717 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:19.718 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (50.0,40.0) hasta (38.0,15.0)
23:22:19.718 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:19.719 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 38 puntos, distancia: 37.0 km
23:22:19.720 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 142 iteraciones, 142 nodos expandidos, 564 nodos evaluados, 0 bloqueos sorteados
23:22:19.720 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:19.720 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 38 puntos, longitud: 37.0 km, tiempo estimado: 74.0 minutos
23:22:19.726 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:19.727 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (38.0,15.0) hasta (20.0,30.0)
23:22:19.727 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:19.728 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 34 puntos, distancia: 33.0 km
23:22:19.728 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 106 iteraciones, 106 nodos expandidos, 420 nodos evaluados, 0 bloqueos sorteados
23:22:19.729 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 1 ms
23:22:19.729 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 34 puntos, longitud: 33.0 km, tiempo estimado: 66.0 minutos
23:22:19.736 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:19.736 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (20.0,30.0) hasta (12.0,8.0)
23:22:19.736 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:19.737 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 31 puntos, distancia: 30.0 km
23:22:19.738 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 138 iteraciones, 138 nodos expandidos, 548 nodos evaluados, 0 bloqueos sorteados
23:22:19.738 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 0 ms
23:22:19.738 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 31 puntos, longitud: 30.0 km, tiempo estimado: 60.0 minutos
23:22:20.126 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.127 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (12.0,8.0) hasta (35.0,22.0)
23:22:20.127 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.129 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 38 puntos, distancia: 37.0 km
23:22:20.130 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 160 iteraciones, 160 nodos expandidos, 636 nodos evaluados, 0 bloqueos sorteados
23:22:20.130 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 2 ms
23:22:20.130 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 38 puntos, longitud: 37.0 km, tiempo estimado: 74.0 minutos
23:22:20.138 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.138 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (35.0,22.0) hasta (30.0,25.0)
23:22:20.139 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
23:22:20.139 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta óptima encontrada: 9 puntos, distancia: 8.0 km
23:22:20.139 [restartedMain] INFO  c.plg.service.MapaReticularService - Estadísticas A*: 18 iteraciones, 18 nodos expandidos, 68 nodos evaluados, 0 bloqueos sorteados
23:22:20.140 [restartedMain] INFO  c.plg.service.MapaReticularService - Tiempo de cálculo de ruta: 0 ms
23:22:20.140 [restartedMain] INFO  c.plg.service.MapaReticularService - Ruta generada: 9 puntos, longitud: 8.0 km, tiempo estimado: 16.0 minutos
23:22:20.147 [restartedMain] INFO  c.plg.service.MapaReticularService - Calculando ruta con 0 bloqueos activos en el momento actual
23:22:20.147 [restartedMain] INFO  c.plg.service.MapaReticularService - Iniciando cálculo de ruta óptima con A*: desde (30.0,25.0) hasta (28.0,32.0)
23:22:20.147 [restartedMain] INFO  c.plg.service.MapaReticularService - Bloqueos activos considerados: 0
